Dealer,Company,FEIN,DNI,Peripherals,Service Name,Unit ID,Unit,Unit Type,Carrier,Serial #,Phone Number,Sim Number,IMEI,Bill To,Status,Last Event,Carrier,Assigned To Company,Last Event Date
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0E98,SXT 027,GenX 656BV,Claro CO,000036304029,9103431093,57101502011273720,357520073173672,,Active,Towing/Drifting?,Claro CO,4/16/2019 12:13:52 PM,10/2/2024 3:12:51 PM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0E9A,UVL 729,GenX 656BV,Claro CO,000036304031,9103431097,57101502011273718,357520073165793,,Active,Drive,Claro CO,4/16/2019 12:45:33 PM,10/2/2024 2:39:57 PM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0NKN,STA473,GenX 5P,MOVISTAR CO,000054520679,9101141945,8957123112102787429,358014097698590,,Active,Drive,MOVISTAR CO,2/17/2022 2:38:37 AM,9/24/2024 8:26:43 AM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0QBU,ZNL666,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363118644,9103457325,89571016021086998574,359369091064820,,Active,Ignition OFF,Claro CO,2/13/2022 6:07:28 AM,10/2/2024 1:02:06 PM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0QC0,WLX384,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363118623,9103398703,89571016021086998509,359369091141065,,Active,Parked,Claro CO,2/13/2022 4:35:48 AM,10/2/2024 2:29:52 PM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,0QHU,ZNM486,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363118362,9101172564,8957123110542476975,359369091039673,,Active,Travel Start,MOVISTAR CO,2/13/2022 8:10:54 AM,9/24/2024 8:38:46 AM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,663M,WCZ460,GenX 656B,,000003954093,9103412478,602108699307,359394056437704,,Active,Drive,,1/22/2022 7:39:50 AM,10/2/2024 3:01:19 PM
TSO Mobile - Colombia,AFRA LOGISTICA EN TRANSPORTE SAS,901076470,,"Panic Button, ",PLAN SEGURIDAD,999H,SQX971,GenX 651B,Claro CO,000034402865,9103413706,89571011014103555845,353161071487477,,Active,Drive,Claro CO,6/18/2021 2:10:16 PM,10/2/2024 3:00:06 PM
TSO Mobile - Colombia,AGREGADOS EL HATILLO SAS,901032933,,"Panic Button, ",PLAN MAQUINARIA PESADA,0FPU,RETRO H940C,GenX 656BV,Claro CO,000034749034,9103424881,57101502009525436,358887092046638,,Active,Power OFF,Claro CO,2/25/2022 6:13:28 AM,9/25/2024 6:32:38 AM
TSO Mobile - Colombia,AGREGADOS PURACE SAS,900827829,,"Panic Button, ",PLAN STANDARD,0X8V,KOBELCO (RO-78),CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363187413,9101441379,8957123112215162296,352556102766974,,Active,Parked,MOVISTAR CO,6/21/2023 6:58:53 AM,7/16/2024 12:54:27 PM
TSO Mobile - Colombia,AGRICOLA SOLARI SAS,901507020,,"Panic Button, ",PLAN STANDARD,0ZAB,KVD620,Queclink GV55W,Claro CO,MP83705D3016537,9103598209,57101602308331749,868574042747027,,Active,Parked,Claro CO,12/4/2023 11:25:01 AM,10/2/2024 4:17:50 PM
TSO Mobile - Colombia,AGRO PORVENIR SAS,900417468,,"Panic Button, ",PLAN SEGURIDAD,582L,D5 BULLDOZER,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,4764400532,9103458865,89571016021090724685,354514101223420,,Active,Idle Alert,MOVISTAR CO,6/5/2022 3:31:56 AM,10/2/2024 7:30:48 AM
TSO Mobile - Colombia,AGROFUTURO SERVICIOS Y SOLUCIONES ZOMAC SAS,901406693,,"Panic Button, ",PLAN MAQUINARIA PESADA,0XRA,6403,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363188551,9101158661,8957123112215163856,352556102758302,,Active,Parked,MOVISTAR CO,8/19/2023 10:24:55 AM,10/2/2024 4:11:40 PM
TSO Mobile - Colombia,AGROFUTURO SERVICIOS Y SOLUCIONES ZOMAC SAS,901406693,,"Panic Button, ",PLAN MAQUINARIA PESADA,0XRO,6125,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363188590,9101147059,8957123112215163781,352556102767667,,Active,Parked,MOVISTAR CO,8/19/2023 11:47:17 AM,10/2/2024 10:36:41 AM
TSO Mobile - Colombia,AGROFUTURO SERVICIOS Y SOLUCIONES ZOMAC SAS,901406693,,"Panic Button, ",PLAN MAQUINARIA PESADA,0XT0,5090,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363188939,9101177267,8957123112215168103,352556102938474,,Active,Parked,MOVISTAR CO,8/22/2023 10:05:36 AM,10/2/2024 4:28:40 PM
TSO Mobile - Colombia,AGROFUTURO SERVICIOS Y SOLUCIONES ZOMAC SAS,901406693,,"Panic Button, ",PLAN MAQUINARIA PESADA,U800,U800,GenX Super 5,Claro CO,000003852307,9103424832,8957110502011316571,357852031434817,,Active,,Claro CO,9/30/2024 2:52:00 PM,3/31/2023 2:41:24 PM
TSO Mobile - Colombia,AGROINVERSIONES CJ SAS,901497576,,"Panic Button, ",PLAN PROFESIONAL,0T4N,TLP090,CalAmp 4232 - 3G - LMU4232H-RH00-G1000,Claro CO,4864054650,9103427446,89571015021016640958,357041068848822,,Active,Parked,Claro CO,9/28/2022 9:06:37 AM,10/2/2024 4:08:39 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,03YB,STY005,CalAmp 2620 - 3G - LMU26H201-G1000,Claro CO,4764400447,9103446062,89571016021090725195,354514101202226,AGROPAISA SAS,Active,Parked,Claro CO,9/19/2017 2:37:26 PM,10/2/2024 2:40:29 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04BO,TTR683,Queclink GV55W,MOVISTAR CO,S2-M006820-0XHA,9104042837,57101602312158179,868574041318119,AGROPAISA SAS,Active,Parked,MOVISTAR CO,11/23/2023 10:07:04 AM,10/2/2024 4:33:43 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04BQ,WOK895,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,4764412722,9103977000,89571016023121575326,352556102300212,AGROPAISA SAS,Active,Parked,Claro CO,9/18/2017 2:22:23 PM,10/2/2024 3:44:02 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04BT,WLW599,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,1363185655,9101395524,8957123112215164755,354514101465617,AGROPAISA SAS,Active,Parked,Claro CO,9/16/2017 1:13:35 PM,10/2/2024 4:11:20 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04BU,TTT888,GenX 656B,Claro CO,000003954019,9103428699,57101101402706451,359394056091097,AGROPAISA SAS,Active,Drive,Claro CO,9/22/2017 10:02:09 AM,10/2/2024 3:55:32 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04C4,WOK951,Queclink GV55W,Claro CO,S2-M007693-0XEH,9104047920,57101602312162304,868574042415443,AGROPAISA SAS,Active,Drive,Claro CO,9/21/2017 4:20:25 AM,10/2/2024 4:35:37 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04C5,TTT892,GenX 656BV,Claro CO,000034703864,9103392673,57101101510434124,357520070947698,AGROPAISA SAS,Active,Power OFF,Claro CO,9/22/2017 10:02:09 AM,9/5/2024 2:37:25 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04C7,IRS276,GenX 656BV,Claro CO,000034703882,9103398724,57101101510434083,357520070946211,,Active,Parked,Claro CO,9/21/2017 9:29:01 AM,10/2/2024 4:24:44 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04CA,WOL035,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363189006,9103429917,8957101502107819340,352556102919920,AGROPAISA SAS,Active,POWER UP,Claro CO,9/20/2017 1:18:33 PM,10/1/2024 6:33:04 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04CB,WOK894,GenX 656BV,Claro CO,000034703885,9103424948,57101101510434079,357520070951518,AGROPAISA SAS,Active,Drive,Claro CO,9/20/2017 8:44:36 AM,10/2/2024 4:35:29 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04CD,WOM411,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363186104,9101155232,8957123311903277842,352556102056475,AGROPAISA SAS,Active,Travel Stop,Claro CO,5/20/2021 11:26:46 AM,10/2/2024 4:34:46 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UA,SVO528,GenX 656BV,Claro CO,000034410526,9103412484,57101101506678718,359316074392835,AGROPAISA SAS,Active,Drive,Claro CO,9/22/2017 10:02:09 AM,10/2/2024 4:26:10 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UC,TTR682,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,Claro CO,1363186060,9109101420170,8957123112214854562,354514101458703,AGROPAISA SAS,Active,Parked,Claro CO,9/16/2017 1:07:49 PM,10/2/2024 3:00:32 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UG,IRS281,Queclink GV55W,Claro CO,S2-M006820-0WIM,9104050391,57101602312161898,868574041317798,,Active,Parked,Claro CO,9/23/2017 6:03:29 AM,10/2/2024 4:30:20 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UI,IRS280,GenX 656B,Claro CO,000034703874,9103402486,57101101311003132,357520070916883,,Active,Parked,Claro CO,9/22/2017 6:57:43 AM,10/2/2024 4:31:28 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UK,IRS403,GenX 656B,Claro CO,000034703871,9103398692,57101101510222466,357520070942830,,Active,Speed alert,Claro CO,9/23/2017 5:23:04 AM,10/2/2024 4:35:20 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04UM,WOL036,GenX 656B,Claro CO,000034703868,9103432358,57101101510222468,357520070950379,AGROPAISA SAS,Active,Parked,Claro CO,9/20/2017 11:57:57 AM,10/2/2024 4:15:04 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009901C72A, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,04US,TLZ723,GenX 5P,Claro CO,000034703877,9103409948,57101101501030266,357520070896085,AGROPAISA SAS,Active,Idle - Stop,Claro CO,9/27/2017 5:16:34 AM,10/2/2024 4:32:49 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,07VB,WOL258,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363114261,9109101172548,8957123112102787734,358077091710117,AGROPAISA SAS,Active,Parked,Claro CO,6/7/2018 2:12:37 PM,10/2/2024 1:50:40 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,07VC,774NAW,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363188163,9101148549,8957123112214855,352556102752677,AGROPAISA SAS,Active,Ignition OFF,MOVISTAR CO,5/19/2018 8:18:12 AM,10/2/2024 4:35:20 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,07VK,WOL260,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363114748,9103441075,57101602108699938,358077091793303,AGROPAISA SAS,Active,Ignition OFF,MOVISTAR CO,6/7/2018 2:16:22 PM,10/2/2024 3:29:56 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,07VS,775NAW,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363185903,9101173350,8957123112215160415,352556102097792,AGROPAISA SAS,Active,Parked,Claro CO,5/19/2018 6:14:20 AM,10/2/2024 2:46:50 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,09JA,WOL283,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363190502,9101407966,8957123112215340678,352556102804387,AGROPAISA SAS,Active,Ignition OFF,Claro CO,6/29/2018 6:57:06 AM,10/2/2024 3:35:54 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0B3O,STA374,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,4764256216,9103983282,89571016023121578866,357041065245303,AGROPAISA SAS,Active,Parked,Claro CO,11/9/2020 3:45:15 AM,10/2/2024 1:48:39 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009902BE47, Fuel Sensor - 141938, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0BUK,WOL828,"CalAmp 2630 - HSPA -LMU26H3001-G1000

",Claro CO,1363114789,9103398733,895710150230937,358077091811642,AGROPAISA SAS,Active,Parked,Claro CO,1/15/2020 5:56:05 AM,10/2/2024 12:36:57 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0CJI,WOL508,GenX 656BV,Claro CO,000034745660,9103449842,57101502006086485,357520078318645,AGROPAISA SAS,Active,Parked,Claro CO,2/4/2019 4:32:30 AM,10/2/2024 4:07:19 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0CJJ,WOL518,GenX 656BV,Claro CO,000034745661,9103449840,57101502006086486,357520078703689,AGROPAISA SAS,Active,Drive,Claro CO,2/4/2019 4:33:22 AM,10/2/2024 4:34:19 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0D0K,792NAW,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,4764383435,9101170095,8957123112215166685,358077093348080,AGROPAISA SAS,Active,Parked,Claro CO,3/7/2019 6:31:29 AM,10/2/2024 4:32:23 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHB,FSM257,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363186009,9103436101,8957123111415884691,354514101452664,,Active,Parked,Claro CO,4/8/2019 5:04:31 AM,10/2/2024 3:15:58 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHC,FSM079,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,1363189793,9101143684,8957123112214853929,352556102919110,AGROPAISA SAS,Active,Drive,Claro CO,4/8/2019 5:04:32 AM,10/2/2024 4:35:57 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHD,FSM254,GenX 656BV,Claro CO,000036082417,9103446088,502011225357,357520072039668,AGROMILENIO SAS,Active,Parked,Claro CO,4/8/2019 5:04:32 AM,10/2/2024 3:55:15 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHI,FSM151,GenX 656BV,Claro CO,000036082395,9103431121,502011225362,357520074941804,,Active,Towing/Drifting?,Claro CO,4/8/2019 5:45:55 AM,10/1/2024 1:06:10 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHJ,FSM202,GenX 656BV,Claro CO,000036082396,9103431124,57101502011225367,357520072685239,AGROMILENIO SAS,Active,Parked,Claro CO,4/8/2019 5:04:32 AM,10/2/2024 3:48:29 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHM,FSM253,GenX 656BV,Claro CO,000036082399,3118133243,502011225359,357520071951178,AGROMILENIO SAS,Active,Parked,Claro CO,4/8/2019 5:07:53 AM,10/2/2024 3:43:41 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0DHQ,FSM255,GenX 656BV,Claro CO,000036082403,9103418712,502011225361,357520071985226,,Active,Drive,Claro CO,4/8/2019 5:07:25 AM,10/1/2024 11:33:16 AM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009901C802, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0EBK,WOL829,Queclink GV55W,Claro CO,S2-M007693-1532,9109103399946,57101602604287905,868574042872643,AGROPAISA SAS,Active,Drive,Claro CO,10/10/2019 6:27:03 AM,10/2/2024 4:21:01 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009901C115, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0EGM,WOL827,GenX 656BV,Claro CO,000003953353,9103398757,57101502501906609,359394056261674,AGROPAISA SAS,Active,Drive,Claro CO,10/10/2019 6:53:17 AM,10/2/2024 4:33:34 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009901C88D, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0FQ9,GQT898,GenX 656BV,Claro CO,000034749049,9103417415,57101502009525455,358887092044732,AGROPAISA SAS,Active,Idle - Stop,Claro CO,7/26/2019 4:30:16 AM,10/2/2024 4:25:02 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"MDVR - 009901C21F, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0FQB,WFG788,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,4764342814,9103453518,89571016022057257529,357041069072091,AGROPAISA SAS,Active,Drive,Claro CO,7/26/2019 4:30:34 AM,10/2/2024 3:54:11 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0FU4,IAG59E,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363105784,9103385260,8957101502112332583,359369090478963,AGROPAISA SAS,Active,Travel Stop,Claro CO,9/18/2021 12:44:33 PM,10/2/2024 4:31:47 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Temp. Sensor, Fuel Sensor - 142055, Fuel Sensor - 142031, Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0JGL,LWY332 ,"CalAmp 2630 - HSPA -LMU26H3001-G1000

",Claro CO,4764343197,9103403738,89571015023088973275,358077091072591,,Active,Drive,Claro CO,11/3/2023 5:04:29 AM,10/2/2024 4:35:48 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0K4E,GHO967,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363108503,9103428681,8957101502309377182,359369090372778,,Active,Parked,Claro CO,4/20/2020 1:10:15 PM,10/2/2024 3:01:07 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0K4F,GHO946,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363188280,9101145597,8957123112214854042,352556102936619,AGROPAISA SAS,Active,Ignition OFF,Claro CO,2/13/2023 5:55:31 AM,10/2/2024 4:25:09 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0K4H,GHO828,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363138672,9103456067,57101502309377190,358077092148671,,Active,Parked,Claro CO,4/20/2020 12:53:12 PM,10/2/2024 3:58:24 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0K4I,GHO842,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1363109125,9103397508,57101502309377185,359369090537701,AGROPAISA SAS,Active,Parked,Claro CO,4/20/2020 1:01:43 PM,10/2/2024 2:53:29 PM
TSO Mobile - Colombia,AGROMILENIO SAS,804010412,,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,0K4J,GHO935,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,1333140966,9103409915,89571015023088974000,351628096195162,,Active,Parked,Claro CO,4/20/2020 12:35:20 PM,10/2/2024 3:21:55 PM
